CustomerID,Recency,Frequency,Monetary,AverageOrderValue,CustomerValue
12346.0,325,1,77183.6,77183.6,77183.6
12347.0,2,7,4310.0,615.7142857142857,4310.0
12348.0,75,4,1797.24,449.31,1797.24
12349.0,18,1,1757.55,1757.55,1757.55
12350.0,310,1,334.40000000000003,334.40000000000003,334.40000000000003
12352.0,36,8,2506.04,313.255,2506.04
12353.0,204,1,89.0,89.0,89.0
12354.0,232,1,1079.4,1079.4,1079.4
12355.0,214,1,459.40000000000003,459.40000000000003,459.40000000000003
12356.0,22,3,2811.43,937.1433333333333,2811.43
12357.0,33,1,6207.67,6207.67,6207.67
12358.0,1,2,1168.06,584.03,1168.06
12359.0,57,4,6372.58,1593.145,6372.58
12360.0,52,3,2662.06,887.3533333333334,2662.06
12361.0,287,1,189.9,189.9,189.9
12362.0,3,10,5226.2300000000005,522.623,5226.2300000000005
12363.0,109,2,552.0,276.0,552.0
12364.0,7,4,1313.1,328.275,1313.1
12365.0,291,2,641.38,320.69,641.38
12367.0,4,1,168.9,168.9,168.9
12370.0,51,4,3545.69,886.4225,3545.69
12371.0,44,2,1887.96,943.98,1887.96
12372.0,71,3,1298.04,432.68,1298.04
12373.0,311,1,364.6,364.6,364.6
12374.0,25,1,742.9300000000001,742.9300000000001,742.9300000000001
12375.0,10,2,457.5,228.75,457.5
12377.0,315,2,1628.1200000000001,814.0600000000001,1628.1200000000001
12378.0,129,1,4008.62,4008.62,4008.62
12379.0,81,2,852.24,426.12,852.24
12380.0,21,4,2724.81,681.2025,2724.81
12381.0,4,5,1845.31,369.062,1845.31
12383.0,184,5,1850.56,370.11199999999997,1850.56
12384.0,28,2,585.27,292.635,585.27
12386.0,337,2,401.9,200.95,401.9
12388.0,15,6,2780.6600000000003,463.4433333333334,2780.6600000000003
12390.0,79,1,549.84,549.84,549.84
12391.0,21,1,460.89,460.89,460.89
12393.0,72,4,1582.6000000000001,395.65000000000003,1582.6000000000001
12394.0,63,2,1272.48,636.24,1272.48
12395.0,19,12,3018.63,251.5525,3018.63
12397.0,35,2,2409.9,1204.95,2409.9
12398.0,45,1,1635.6599999999999,1635.6599999999999,1635.6599999999999
12399.0,119,4,1108.65,277.1625,1108.65
12401.0,303,1,84.3,84.3,84.3
12402.0,323,1,225.60000000000002,225.60000000000002,225.60000000000002
12403.0,49,1,427.7,427.7,427.7
12405.0,148,1,1710.39,1710.39,1710.39
12406.0,22,2,3415.3,1707.65,3415.3
12407.0,49,5,1708.12,341.62399999999997,1708.12
12408.0,32,5,2888.55,577.71,2888.55
12409.0,78,3,11072.67,3690.89,11072.67
12410.0,308,2,693.33,346.665,693.33
12412.0,74,3,1226.88,408.96000000000004,1226.88
12413.0,66,3,758.1,252.70000000000002,758.1
12414.0,217,3,562.4100000000001,187.47000000000003,562.4100000000001
12415.0,24,21,124914.53,5948.310952380953,124914.53
12417.0,3,9,3649.1,405.4555555555555,3649.0999999999995
12418.0,112,1,668.58,668.58,668.58
12420.0,63,1,600.39,600.39,600.39
12421.0,15,4,807.04,201.76,807.04
12422.0,95,3,803.5600000000001,267.85333333333335,803.5600000000001
12423.0,0,8,1859.31,232.41375,1859.31
12424.0,162,2,1760.96,880.48,1760.96
12425.0,78,1,777.2,777.2,777.2
12426.0,194,1,582.73,582.73,582.73
12427.0,21,3,825.8000000000001,275.2666666666667,825.8000000000002
12428.0,25,9,7956.46,884.0511111111111,7956.46
12429.0,9,4,3750.4,937.6,3750.4
12430.0,43,1,256.4,256.4,256.4
12431.0,35,15,6487.45,432.49666666666667,6487.45
12432.0,42,5,5059.32,1011.8639999999999,5059.32
12433.0,0,7,13375.87,1910.8385714285716,13375.87
12434.0,84,2,806.14,403.07,806.14
12435.0,79,2,7829.89,3914.945,7829.89
12436.0,99,1,509.01,509.01,509.01
